UserId,UserLogin,UserName,FollowerId,FollowerLogin
45,mojodna,mojodna,318,bumi
45,mojodna,mojodna,523,brett
45,mojodna,mojodna,567,purzelrakete
45,mojodna,mojodna,849,juliamae
45,mojodna,mojodna,936,cjmartin
45,mojodna,mojodna,1027,waferbaby
45,mojodna,mojodna,1218,ajturner
45,mojodna,mojodna,1365,charlenopires
45,mojodna,mojodna,1692,cw
45,mojodna,mojodna,1894,gbraad
45,mojodna,mojodna,1907,sabman
45,mojodna,mojodna,2025,jonpierce
45,mojodna,mojodna,2179,kellan
45,mojodna,mojodna,2210,SteveMarshall
45,mojodna,mojodna,2219,myelin
45,mojodna,mojodna,2567,tmm1
45,mojodna,mojodna,2581,lhl
45,mojodna,mojodna,2882,nikolay
45,mojodna,mojodna,2984,zzgavin
45,mojodna,mojodna,3153,BenWard
45,mojodna,mojodna,3690,smtlaissezfaire
45,mojodna,mojodna,3785,mattb
45,mojodna,mojodna,3799,paulhammond
